,,"Name (click to view profile)","Profile ID",Date,Likes,"Live video timestamp",Comment,"Image URLs","Author Avatar","Comment Edited","Comment URL"
1,,"Netflix Family",100066900986005,"2024-10-22 14:00:06",0,-,"we love action movies! 💥",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
2,,"Netflix Family",100066900986005,"2024-10-23 14:00:06",0,-,"Get ready for a cozy November! 🍂🎬 Here’s what’s hitting Netflix Family this month!",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
3,,"Netflix Family",100066900986005,"2024-10-23 18:01:07",0,-,"just me, staring at my to-do list like it's a horror movie 📋 🧟‍♂️",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
4,,"Netflix Family",100066900986005,"2024-10-24 17:00:51",0,-,"the “inner peace” to “dinner please” pipeline is real. Kung Fu Panda 4 is playing on Netflix.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
5,,"Netflix Family",100066900986005,"2024-10-25 14:00:03",0,-,"Save these lists for your next Halloween family movie night!",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
6,,"Netflix Family",100066900986005,"2024-10-26 14:00:34",0,-,"Kids these days and their rizzler halloween costumes",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
7,,"Netflix Family",100066900986005,"2024-10-26 17:02:43",0,-,"Scary sleep movies? Sounds like a NIGHTMARE 😳 🎥 Saving Bikini Bottom: The Sandy Cheeks Movie",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
8,,"Netflix Family",100066900986005,"2024-10-27 14:00:39",0,-,"Pugsley knows (and smells) ALL 😏 Dead End: Paranormal Park is playing on Netflix!",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
9,,"Netflix Family",100066900986005,"2024-10-27 17:01:30",0,-,"Flu season is here. How I Met Your Mother is playing on Netflix.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
10,,"Netflix Family",100066900986005,"2024-10-28 14:00:03",0,-,"Her parents are monsters. Literally. The new trailer for SPELLBOUND drops tomorrow!",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
